,userName,content,Subjectivity,Polarity,Resultado
0,Eric Tie,I cannot open the app anymore,0.5,0,Neutral
1,john alpha,I have been begging for a refund from this app for over a month and nobody is replying me,0,0,Neutral
2,Sudhakar .S,Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,0.56,0.36,Positivo
3,SKGflorida@bellsouth.net DAVID S,"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! ???",0.175,-0.667572021484375,Negativo
4,Louann Stoker,Dan Birthday Oct 28,0,0,Neutral
5,Jon Clemens,It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,0.6,0,Neutral
6,Gale W,"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",0.514285714285714,0.0428571428571429,Positivo
7,No One,"Reset my free trial, new phone I'd like to see if it's better.",0.584848484848485,0.345454545454546,Positivo
8,I Dewa Gede Nopi Ariana,How do to stop monthly payment because i don't use this app anymore,0,0,Neutral
9,John Riddle,"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise ? I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again ?",0.3,0.266666666666667,Positivo
10,Lisa Pappas,"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",0.427272727272727,0.0335664335664336,Positivo
11,Kyuhwa Lee,"Widgets are useless because they always show all tasks I have, regardless of category. There's no option to show only a specific category like groceries so they're all mixed up with to-do list tasks. Do developers even care about usability? Isn't it a software design 101?",0.39375,-0.125,Negativo
12,Tom Dashiell,Horrible app. It doesn't do as described. Absolutely no support!,0.95,-0.5625,Negativo
13,Erica M,"Update October 2020: new update deleted all of my tasks, forced me to create an account, and now only bare minimum is free. Finding a new app. Been using this for years and loved it. With each update you get less and less free. It just auto updated and now I can't have reoccurring reminders without paying. Unless you count defaulting to every Monday. It wouldn't even allow me to update a long time weekly reminder",0.467493112947659,0.103581267217631,Positivo
14,Susan Anderson,Did not realize there was a charge for this app do not want this app.,0,0,Neutral
15,Simon H,"Spams notifications of how many tasks other users have completed this week. Who on earth would care? Uninstalled. **Update: Developer responded that this was a once off experiment. I think this was actually the third time I received this notification. Also, experimental spam is still spam",0.275,0.095,Positivo
16,John Pires Photography,Downloaded first thing it trys to do is do a con. Not impressed.,0.666666666666667,-0.125,Negativo
17,Stacy Dehut,No longer works with Alexa. What happened??,0,0,Neutral
18,Rishi Mehta,it doesn't show any list,0,0,Neutral
19,Jacob Lombardi,Do not download,0,0,Neutral
20,Colleen McFarland,This app is not what I wanted at all.,0,0,Neutral
21,Kofi Osahene,Unnecessary pop up. Really annoying and counterproductive,0.9,-0.6,Negativo
22,Chris Warrick,They recently started sending spammy notifications every week or so. Please stop.,0.25,0,Neutral
23,Tuukka Rinkinen,"Shows tasks assigned to others in widget. A major missing feature for any serious projects, is some way to know if a task you're currently adding to a long list, already exists. Some kind of an automatic search through the existing tasks - at least the tasks in the current list - while typing in a new task. Other than that, this is great. Good job! _Task search in the web app is an extra step and not intuitive._ Using a separate search feature to check every new task you're adding, is absurd.",0.496717171717172,0.073459595959596,Positivo
24,Gvidas Man,7 days for free and then you pay. Plus too complicated for some simple tasks,0.719047619047619,-0.0333333333333333,Negativo
25,A Google user,Update: thanks for your response. I would ask the developers to check their own app. There is NO monthly subscription option in the app. Old review: No monthly subscriptions? Why should I be forced to subscribe for a year? I am definitely not subscribing for a year in one go. This is ridiculously desperate.,0.516666666666667,0,Neutral
26,Tim Williams,Expensive paywall preventing access to features in wanting to try out,0.7,-0.5,Negativo
27,Siddharth Sinha,"I was about to pay for this app when I noticed a bug. It does not effectively sync tasks and events from the Google Calendar. Numerous issues, and you can't even mark those events as over. Sorry, not going to subscribe to this. I have no idea why this app is so famous. It's quite bad, in my opinion.",0.793333333333333,-0.2,Negativo
28,jayesh patel,Worst application no task information on screen,1,-1,Negativo
29,Vân Tr?n,"I downloaded this app to try for my task list but i see there're not many functions, choices of sounds, color labels... to make the task fun, dissapointed with the score i saw on Google Play. The worst point is this app forced me to pay for it without any awareness. I checked my Google play account before the trial end, i didn't see any Subscription plan from Any.do, but after the trial, it charged me yearly plan for this App. Bad way to trick people to pay for this app.",0.513333333333333,-0.39,Negativo
30,Tony Wu Channel,"Shameless App Ever, Waste Money !!! I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????",0.2,-0.0953125,Negativo
31,Neil Harrison,I am not providing email addresses or google or Facebook accounts for a todo list,0,0,Neutral
32,Gavin Kalavik,Uninstalled it as soon as it started sending me Ad notifications. Why does any developer think this is acceptable? Disgusting.,1,-1,Negativo
33,Thea Dadunashvili,I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????,0.4,0.2,Positivo
34,Fouad Kraim,Have to pay premium if you want to put multiple reminders a day,0,0,Neutral
35,Patric Hogle,"I have tried I installing this on two separate Android devices with no luck. I can not add my calendars. I put the widget on the home screen. It says I need to add my calendars and has a button to add them, but nothing happens when I tap the button.",0,0,Neutral
36,Janier Guerrero Craig,Prayer Ubde,0,0,Neutral
37,kamlesh dhanuka,such a useless and greedy app only wants money as is chargeable after 7 days do you have shame i want to give you 0 star,0.45,-0.075,Negativo
38,Analyn Canaveral,Yes i what,0,0,Neutral
39,Paras Prakash,Waste,0,-0.2,Negativo
40,panasonik sahoo,"Really cumbersome, is not easy to use",0.516666666666667,-0.00833333333333333,Negativo
41,Joshua Martinez,Was charged for the year instead of monthly,0,0,Neutral
42,Axel Sanon,"Not free, cannot delete account",0.8,-0.2,Negativo
43,Patty Padden,Will not enable me to unsubscribe!,0,0,Neutral
44,Alex Alex,Dindigul,0,0,Neutral
45,Steve Hart,Latest update deleted all my tasks and lists! Have to start all over and try to remember what my list items were. I'll be looking for a new app.,0.677272727272727,0.380681818181818,Positivo
46,Navaneeth K P,Features for the free version are just disappointing.,0.75,-0.1,Negativo
47,Rob,Locking basic features behind a paywall is kinda weird,0.608333333333333,-0.3,Negativo
48,Official Saket Sahu,Soo awkward i can't able to sign *up* ? Sick app,0.827380952380952,-0.271428571428571,Negativo
49,Zulq Alam,Hangs when setting up Google Assistant,0,0,Neutral
50,Jalapeño LJ,Subscription?? How does this application figure that it can be a subscription application? Ridiculous Update after developer response: This is not a subscription application. You are not Netflix or Adobe. This should be a standalone app quit trying to milk people's money. You can say anything you want. THIS WILL NEVER BE A SUBSCRIPTION APPLICATION. STOP BEING RIDICULOUS.,1,-0.333333333333333,Negativo
51,robert zyma,good,0.6,0.7,Positivo
52,John Oswald-Jacobs,"Hopeless customer service. I paid for the premium version, had a problem with its sharing function, emailed customer support for a solution, was told it would take 2 business days for a response (which was hopeless enough), now over 5 business days later I've not received a response.",0.25,0,Neutral
53,Helen Pappa,Duplicates files attached and you have to constantly delete. FIX THE BUGS.,0.333333333333333,0,Neutral
54,Harish Thadani,Used to work so well earlier. Now it doesn't work at all!! Junk!!,0.5,0,Neutral
55,Jakub Jatkiewicz,Frustrating. Apparently its meant to sync grocery lists with Google home but doesn't. Absolutely no info on how to set it up,0.716666666666667,-0.15,Negativo
56,Irfan Raza,Too complicated to use,1,-0.5,Negativo
57,Marionion Marinion,Forced sign in,0.2,-0.3,Negativo
58,Ishmael Quartey,Work on it,0,0,Neutral
59,Alex Alex,"I should have looked through ""most recent"" instead of ""most relevant"" reviews. It's far too limited for me in it's free state and I'm not interested in paying for a subscription just to unlock what should be basic functionality in a to do list app.",0.524206349206349,0.189285714285714,Positivo
60,Jincyber Jincyber,do not for showing or refund&refuse about my persional privacy.,0,0,Neutral
61,Alessandro Frul,"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",0.5,0.5,Positivo
62,ingiliz bebesi i,Not usefull and even they charge some money :),1,0.5,Positivo
63,Rashi Mittal,This app is absolutely useless. Because of this i missed an important event because the reminder alarm supposedly forgot to rang. Its pathetic and useless.,0.6,-0.4,Negativo
64,Jonathan Lee,Is the app or web platform down today? Can't seem to login either.,0.288888888888889,-0.155555555555556,Negativo
65,Mr&Miss,Have to pay for daily reminders... My phone does that free,0.4,0.2,Positivo
