userName,content,Classification,Confidence
Eric Tie,I cannot open the app anymore,Negative,0.988
john alpha,I have been begging for a refund from this app for over a month and nobody is replying me,Negative,0.99
Sudhakar .S,Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,Negative,0.925
SKGflorida@bellsouth.net DAVID S,"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! ???",Neutral,0.585
Louann Stoker,Dan Birthday Oct 28,Neutral,0.961
Jon Clemens,It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,Neutral,0.434
Gale W,"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",Negative,0.954
No One,"Reset my free trial, new phone I'd like to see if it's better.",Neutral,0.684
I Dewa Gede Nopi Ariana,How do to stop monthly payment because i don't use this app anymore,Neutral,0.542
John Riddle,"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise ? I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again ?",Negative,0.992
Lisa Pappas,"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",Negative,0.953
Kyuhwa Lee,"Widgets are useless because they always show all tasks I have, regardless of category. There's no option to show only a specific category like groceries so they're all mixed up with to-do list tasks. Do developers even care about usability? Isn't it a software design 101?",Negative,0.992
Tom Dashiell,Horrible app. It doesn't do as described. Absolutely no support!,Negative,0.999
Erica M,"Update October 2020: new update deleted all of my tasks, forced me to create an account, and now only bare minimum is free. Finding a new app. Been using this for years and loved it. With each update you get less and less free. It just auto updated and now I can't have reoccurring reminders without paying. Unless you count defaulting to every Monday. It wouldn't even allow me to update a long time weekly reminder",Negative,1
Susan Anderson,Did not realize there was a charge for this app do not want this app.,Negative,0.781
Simon H,"Spams notifications of how many tasks other users have completed this week. Who on earth would care? Uninstalled. **Update: Developer responded that this was a once off experiment. I think this was actually the third time I received this notification. Also, experimental spam is still spam",Negative,0.868
John Pires Photography,Downloaded first thing it trys to do is do a con. Not impressed.,Negative,0.995
Stacy Dehut,No longer works with Alexa. What happened??,Negative,0.756
Rishi Mehta,it doesn't show any list,Negative,0.634
Jacob Lombardi,Do not download,Negative,0.93
Colleen McFarland,This app is not what I wanted at all.,Negative,0.863
Kofi Osahene,Unnecessary pop up. Really annoying and counterproductive,Negative,1
Chris Warrick,They recently started sending spammy notifications every week or so. Please stop.,Negative,0.959
Tuukka Rinkinen,"Shows tasks assigned to others in widget. A major missing feature for any serious projects, is some way to know if a task you're currently adding to a long list, already exists. Some kind of an automatic search through the existing tasks - at least the tasks in the current list - while typing in a new task. Other than that, this is great. Good job! _Task search in the web app is an extra step and not intuitive._ Using a separate search feature to check every new task you're adding, is absurd.",Positive,0.897
Gvidas Man,7 days for free and then you pay. Plus too complicated for some simple tasks,Negative,0.951
A Google user,Update: thanks for your response. I would ask the developers to check their own app. There is NO monthly subscription option in the app. Old review: No monthly subscriptions? Why should I be forced to subscribe for a year? I am definitely not subscribing for a year in one go. This is ridiculously desperate.,Negative,0.994
Tim Williams,Expensive paywall preventing access to features in wanting to try out,Negative,0.853
Siddharth Sinha,"I was about to pay for this app when I noticed a bug. It does not effectively sync tasks and events from the Google Calendar. Numerous issues, and you can't even mark those events as over. Sorry, not going to subscribe to this. I have no idea why this app is so famous. It's quite bad, in my opinion.",Negative,1
jayesh patel,Worst application no task information on screen,Negative,0.995
Vân Tr?n,"I downloaded this app to try for my task list but i see there're not many functions, choices of sounds, color labels... to make the task fun, dissapointed with the score i saw on Google Play. The worst point is this app forced me to pay for it without any awareness. I checked my Google play account before the trial end, i didn't see any Subscription plan from Any.do, but after the trial, it charged me yearly plan for this App. Bad way to trick people to pay for this app.",Negative,0.998
Tony Wu Channel,"Shameless App Ever, Waste Money !!! I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????",Negative,0.806
Neil Harrison,I am not providing email addresses or google or Facebook accounts for a todo list,Negative,0.921
Gavin Kalavik,Uninstalled it as soon as it started sending me Ad notifications. Why does any developer think this is acceptable? Disgusting.,Negative,1
Thea Dadunashvili,I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????,Negative,0.495
Fouad Kraim,Have to pay premium if you want to put multiple reminders a day,Neutral,0.68
Patric Hogle,"I have tried I installing this on two separate Android devices with no luck. I can not add my calendars. I put the widget on the home screen. It says I need to add my calendars and has a button to add them, but nothing happens when I tap the button.",Negative,0.92
Janier Guerrero Craig,Prayer Ubde,Neutral,0.763
kamlesh dhanuka,such a useless and greedy app only wants money as is chargeable after 7 days do you have shame i want to give you 0 star,Negative,1
Analyn Canaveral,Yes i what,Neutral,0.631
Paras Prakash,Waste,Negative,0.986
panasonik sahoo,"Really cumbersome, is not easy to use",Negative,0.982
Joshua Martinez,Was charged for the year instead of monthly,Neutral,0.751
Axel Sanon,"Not free, cannot delete account",Neutral,0.51
Patty Padden,Will not enable me to unsubscribe!,Negative,0.851
Alex Alex,Dindigul,Negative,0.773
Steve Hart,Latest update deleted all my tasks and lists! Have to start all over and try to remember what my list items were. I'll be looking for a new app.,Negative,0.992
Navaneeth K P,Features for the free version are just disappointing.,Negative,0.902
Rob,Locking basic features behind a paywall is kinda weird,Negative,0.689
Official Saket Sahu,Soo awkward i can't able to sign *up* ? Sick app,Negative,0.997
Zulq Alam,Hangs when setting up Google Assistant,Neutral,0.584
Jalapeño LJ,Subscription?? How does this application figure that it can be a subscription application? Ridiculous Update after developer response: This is not a subscription application. You are not Netflix or Adobe. This should be a standalone app quit trying to milk people's money. You can say anything you want. THIS WILL NEVER BE A SUBSCRIPTION APPLICATION. STOP BEING RIDICULOUS.,Negative,0.998
robert zyma,good,Positive,0.969
John Oswald-Jacobs,"Hopeless customer service. I paid for the premium version, had a problem with its sharing function, emailed customer support for a solution, was told it would take 2 business days for a response (which was hopeless enough), now over 5 business days later I've not received a response.",Negative,0.996
Helen Pappa,Duplicates files attached and you have to constantly delete. FIX THE BUGS.,Negative,0.818
Harish Thadani,Used to work so well earlier. Now it doesn't work at all!! Junk!!,Negative,1
Jakub Jatkiewicz,Frustrating. Apparently its meant to sync grocery lists with Google home but doesn't. Absolutely no info on how to set it up,Negative,0.993
Irfan Raza,Too complicated to use,Negative,0.924
Marionion Marinion,Forced sign in,Neutral,0.632
Ishmael Quartey,Work on it,Neutral,0.821
Alex Alex,"I should have looked through ""most recent"" instead of ""most relevant"" reviews. It's far too limited for me in it's free state and I'm not interested in paying for a subscription just to unlock what should be basic functionality in a to do list app.",Negative,0.99
Jincyber Jincyber,do not for showing or refund&refuse about my persional privacy.,Negative,0.912
Alessandro Frul,"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",Negative,0.828
ingiliz bebesi i,Not usefull and even they charge some money :),Negative,0.885
Rashi Mittal,This app is absolutely useless. Because of this i missed an important event because the reminder alarm supposedly forgot to rang. Its pathetic and useless.,Negative,1
Jonathan Lee,Is the app or web platform down today? Can't seem to login either.,Neutral,0.604
Mr&Miss,Have to pay for daily reminders... My phone does that free,Neutral,0.604
Zac Nolan,The app is amazing - but the vibrations! So annoying!! Pls let me turn them off.,Negative,0.949
Dipakkantiday Dipakkantiday,Dipak day Cox,Neutral,0.63
Vikash kumar Suman,Very bad,Negative,0.996
Ankit Mehta,Location reminders don't work in medium power saving mode.. And all I got in reply was a copy paste solution and a trouble shoot link.,Negative,0.94
Terry Harms,Fed up with interruption in each matter I note. Not worth the while HAVING there are far too many condescending workers out inte cyber world who refuse to take no for an answer.,Negative,0.986
Chris Sivorot,"Really dissappointed in this app. Was using it to schedule my customers appointments. As soon as the new version came out, I lost everything. Going back to paper as at least my paper won't delete everything. A terrible app for business owners and scheduling appointments. Absolutely horrible and I'm very angry.",Negative,1
Ryan Chachula,Thanks to your stupid update I lost ALL of my appointment dates... Terrible garbage.,Negative,1
John Rafael,"I miss Cal. The updates destroyed it, turned this into a cookie-cutter to-do app. It's a shame.",Negative,0.984
Ryan Gould,Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,Negative,0.999
Mihai Bota,I WAS TRYING FOR DAYS TO UN SUBSCRIBE. BUT OF COURSE THAT I was charged. Absolutely no support. Horrible and disgusting tactics,Negative,1
