userName,content,Score,Resultado
Eric Tie,I cannot open the app anymore,0,Neutral
john alpha,I have been begging for a refund from this app for over a month and nobody is replying me,0,Neutral
Sudhakar .S,Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,0.871794871794872,Positivo
SKGflorida@bellsouth.net DAVID S,"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! ??????",-0.41025641025641,Negativo
Louann Stoker,Dan Birthday Oct 28,0,Neutral
Jon Clemens,It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,0,Neutral
Gale W,"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",0.666666666666667,Positivo
No One,"Reset my free trial, new phone I'd like to see if it's better.",1.46153846153846,Positivo
I Dewa Gede Nopi Ariana,How do to stop monthly payment because i don't use this app anymore,-0.307692307692308,Negativo
John Riddle,"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise ?? I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again ??",0.102564102564103,Positivo
Lisa Pappas,"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",-1.07692307692308,Negativo
Kyuhwa Lee,"Widgets are useless because they always show all tasks I have, regardless of category. There's no option to show only a specific category like groceries so they're all mixed up with to-do list tasks. Do developers even care about usability? Isn't it a software design 101?",0.17948717948718,Positivo
Tom Dashiell,Horrible app. It doesn't do as described. Absolutely no support!,-0.512820512820513,Negativo
